,sizer,sizec,goea_nsig,goea_bestp
0,467,3,0,0.5630470674214547
1,467,3,0,0.8008139908255236
2,468,3,1,0.006405270654729455
3,468,3,1,0.0018509381168837996
4,469,3,1,0.006405270654729455
5,469,3,1,0.0018509381168837996
6,467,3,1,0.0001481914300710273
7,467,3,1,0.0001481914300710273
8,469,3,1,0.00016244934870543267
9,468,3,1,0.00015516750471815749
10,468,3,1,0.00015516750471815749
11,467,3,1,0.0001481914300710273
12,468,3,1,0.00015516750471815749
13,467,3,1,0.0001481914300710273
14,467,3,1,0.0001481914300710273
15,467,3,2,0.00014150919009538564
16,467,3,1,0.002011054126674555
17,469,3,1,0.0020958266128161362
18,469,3,1,0.0005829637829902768
19,467,3,5,0.00014150919009538564
20,471,3,4,0.0006358758539093359
21,470,3,4,0.0006088859056535998
22,468,3,2,0.0005580704650829229
23,469,3,2,0.0005829637829902768
24,471,3,2,0.0006358758539093359
25,468,3,2,0.0005580704650829229
26,469,3,2,0.0005829637829902768
27,467,3,4,0.0005341682319438336
28,467,3,2,0.0019294610917043667
29,471,3,1,0.007782414108194077
30,468,3,1,0.0005580704650829229
31,472,3,1,0.00237036773618798
32,470,3,3,0.0006088859056535998
33,474,3,3,0.0025714598515380895
34,469,3,2,0.0020958266128161362
35,468,3,3,0.0005580704650829229
36,473,3,3,0.0024690233644518345
37,468,3,2,0.002011054126674555
38,471,3,2,0.002275365086490594
39,467,3,2,0.0019294610917043667
40,467,3,2,0.0005341682319438336
41,473,3,2,0.0024690233644518345
42,469,3,2,0.0020958266128161362
43,471,3,2,0.0006358758539093359
44,477,3,2,0.00290279409124211
45,474,3,2,0.0025714598515380895
46,468,3,2,0.002011054126674555
47,468,3,2,0.0005580704650829229
48,475,3,2,0.0026778090884289956
49,472,3,2,0.00237036773618798
50,473,3,3,0.0024690233644518345
51,471,3,3,0.002275365086490594
52,471,3,3,0.002275365086490594
53,469,3,3,0.0020958266128161362
54,467,3,2,0.0019294610917043667
55,467,3,2,0.006661323833401767
56,469,3,1,0.0020958266128161362
57,473,3,1,0.008405652978645501
58,467,3,1,0.006661323833401767
59,470,3,1,0.0006088859056535998
60,474,3,1,0.0025714598515380895
61,469,3,1,0.0020958266128161362
62,472,3,3,0.0006639739893643626
63,476,3,3,0.0027882070866925156
64,472,3,2,0.00237036773618798
65,470,3,3,0.0006088859056535998
66,475,3,3,0.0026778090884289956
67,471,3,2,0.002275365086490594
68,467,3,2,0.0005341682319438336
69,473,3,2,0.0024690233644518345
70,470,3,2,0.002183891438281705
71,469,3,2,0.0005829637829902768
72,475,3,2,0.0026778090884289956
73,472,3,2,0.00237036773618798
74,467,3,2,0.0020958266128161362
75,473,3,2,0.000693222055377605
76,479,3,2,0.00314511795809259
77,477,3,2,0.00290279409124211
78,471,3,2,0.002275365086490594
79,470,3,2,0.0006088859056535998
80,477,3,2,0.00290279409124211
81,475,3,2,0.0026778090884289956
82,469,3,2,0.0020958266128161362
83,467,3,3,0.0005341682319438336
84,475,3,3,0.0026778090884289956
85,474,3,3,0.0025714598515380895
86,468,3,2,0.002011054126674555
87,473,3,3,0.0024690233644518345
88,472,3,3,0.00237036773618798
89,468,3,2,0.002011054126674555
90,467,3,3,0.006661323833401767
91,467,3,2,0.021954362997760206
92,469,3,3,0.011812706117392876
93,469,3,3,0.011812706117392876
94,468,3,2,0.011387959069954103
95,471,3,2,0.012705818779545068
96,468,3,2,0.011387959069954103
97,469,3,2,0.007201859729407173
98,475,3,2,0.014679134151495854
99,473,3,2,0.013660053889821491
100,467,3,2,0.010977181498880103
101,473,3,2,0.013660053889821491
102,471,3,2,0.012705818779545068
103,471,3,3,0.012705818779545068
104,470,3,3,0.012251847359966938
105,469,3,3,0.011812706117392876
106,468,3,3,0.011387959069954103
107,467,3,3,0.011387959069954103
108,469,3,3,0.012251847359966938
109,469,3,2,0.012251847359966938
110,467,3,2,0.0069267501865931625
111,474,3,2,0.014679134151495854
112,471,3,2,0.01317506786943024
113,471,3,2,0.008088525328438009
114,478,3,2,0.016927712732626516
115,476,3,2,0.015766978902343978
116,470,3,2,0.012705818779545068
117,469,3,2,0.007486971564040157
118,477,3,2,0.01633796863646037
119,475,3,2,0.015214208092416942
120,469,3,2,0.012251847359966938
121,467,3,3,0.006661323833401767
122,476,3,3,0.015214208092416942
123,475,3,3,0.014679134151495854
