,sizer,sizec,goea_nsig,goea_bestp
0,633,3,15,1.1772126398745358e-24
1,632,3,17,2.4901629936711493e-25
2,631,3,14,2.5105150446417487e-24
3,632,3,15,1.6697860401343075e-23
4,631,3,14,3.6622444222652945e-24
5,632,3,15,1.6697860401343075e-23
6,636,3,14,9.854363061376618e-25
7,634,3,14,3.061994025401205e-25
8,631,3,15,1.6697860401343075e-23
9,635,3,14,1.4392109535568085e-24
10,631,3,11,2.5105150446417487e-24
11,632,3,15,5.139781403660868e-23
12,632,3,16,5.139781403660868e-23
13,634,3,22,3.061994025401205e-25
14,633,3,21,6.360507251366578e-26
15,633,3,19,4.487167485526493e-25
16,631,3,17,3.6527984328450366e-25
17,635,3,21,2.1004348753561336e-24
18,634,3,21,4.487167485526493e-25
19,632,3,22,1.6697860401343075e-23
20,636,3,23,1.4392109535568085e-24
21,635,3,19,2.1004348753561336e-24
22,634,3,23,1.4492959944534857e-27
23,641,3,21,5.531759292287395e-26
24,639,3,22,1.670629479215598e-26
25,637,3,22,6.742525717958338e-25
26,641,3,20,5.531759292287395e-26
27,639,3,16,1.1931583116599044e-25
28,633,3,16,1.1772126398745358e-24
29,633,3,15,4.319527493962792e-26
30,634,3,15,3.732556951506173e-24
31,633,3,21,2.1004348753561336e-24
32,634,3,18,2.450172423826777e-23
33,638,3,17,2.142265263336776e-24
34,637,3,15,3.1204287922846033e-24
35,631,3,14,2.9353957894078546e-23
36,632,3,14,1.1772126398745358e-24
37,635,3,15,3.732556951506173e-24
38,634,3,18,2.1004348753561336e-24
39,635,3,24,2.450172423826777e-23
40,638,3,24,2.142265263336776e-24
41,637,3,21,3.1204287922846033e-24
42,631,3,19,2.9353957894078546e-23
43,632,3,29,1.1772126398745358e-24
44,632,3,20,1.6963752290503389e-25
45,633,3,24,2.1004348753561336e-24
46,637,3,23,1.1931583116599044e-25
47,636,3,18,1.7504870221261229e-25
48,632,3,17,8.052554832958972e-25
49,635,3,29,3.627777791178011e-26
50,632,3,24,7.855805866700664e-26
51,633,3,34,1.4228062722743943e-25
52,633,3,20,7.855805866700664e-26
53,632,3,16,1.1548065075667684e-25
54,631,3,30,2.3652089861597557e-26
55,636,3,24,1.9879951630410583e-26
56,637,3,24,1.812630079954848e-27
57,635,3,23,7.855805866700664e-26
58,641,3,21,2.8223049240648714e-27
59,639,3,19,2.263544687605549e-27
60,631,3,19,7.00241201137641e-27
61,632,3,19,7.782481411532523e-28
62,637,3,23,1.4228062722743943e-25
63,638,3,22,1.347261845696312e-26
64,638,3,25,2.566338462848812e-25
65,644,3,23,9.518392947851797e-27
66,643,3,20,1.4036694071701032e-26
67,636,3,19,7.855805866700664e-26
68,636,3,19,1.347261845696312e-26
69,632,3,22,1.6024081363913867e-26
70,636,3,24,2.3590034460838365e-28
71,644,3,22,6.450062436222627e-27
72,644,3,21,8.676647072612674e-28
73,644,3,24,1.7371761122109463e-26
74,650,3,23,6.156778809503063e-28
75,648,3,21,1.3508286308697266e-27
76,642,3,20,1.4036694071701032e-26
77,644,3,21,1.6047907477321814e-27
78,640,3,21,5.193831661711606e-27
79,636,3,21,2.4626982178714153e-26
80,637,3,21,4.610071802660925e-25
81,638,3,17,1.1931583116599044e-25
82,641,3,20,6.902206232510274e-25
83,647,3,20,2.64921238615997e-26
84,646,3,18,3.892623750158075e-26
85,640,3,18,3.8605372725439357e-25
86,643,3,15,4.6407604776476415e-26
87,640,3,15,1.0004135180064157e-25
88,637,3,25,3.1498136609248747e-25
89,637,3,22,6.742525717958338e-25
90,638,3,18,1.7504870221261229e-25
91,641,3,24,1.0075323539345257e-24
92,646,3,22,3.892623750158075e-26
93,645,3,20,5.715674441412282e-26
94,639,3,19,5.644786265126159e-25
95,642,3,28,6.816095656078806e-26
96,640,3,27,1.0004135180064157e-25
97,638,3,35,2.1505779704885526e-25
98,631,3,34,4.319527493962792e-26
99,632,3,19,6.360507251366578e-26
100,636,3,18,1.347261845696312e-26
101,639,3,22,8.127042190257996e-26
102,645,3,23,1.998866936438589e-27
103,644,3,18,2.9557863400601148e-27
104,640,3,18,1.4036694071701032e-26
105,644,3,28,1.0834404517029636e-27
106,641,3,33,2.3754032151077848e-27
107,642,3,36,4.367839963972897e-27
108,635,3,38,8.229250132184757e-28
109,635,3,23,7.855805866700664e-26
110,641,3,21,1.906111640003491e-27
111,640,3,17,2.8223049240648714e-27
112,636,3,16,1.347261845696312e-26
113,641,3,32,6.937993729733131e-28
114,639,3,32,1.0297069605648276e-27
115,641,3,37,1.28646309325151e-27
116,635,3,37,2.3590034460838365e-28
117,632,3,20,9.359282437085174e-26
118,631,3,16,1.3762191054820246e-25
119,632,3,31,3.488697558935886e-26
120,631,3,31,3.488697558935886e-26
121,633,3,35,4.319527493962792e-26
122,633,3,22,1.6963752290503389e-25
123,633,3,19,2.3652089861597557e-26
124,633,3,18,6.5709963673638785e-25
125,641,3,18,1.1325269563087731e-26
126,640,3,15,6.174828193492586e-27
127,633,3,16,1.2896672646034199e-26
128,634,3,16,1.4492959944534857e-27
129,633,3,21,6.5709963673638785e-25
130,633,3,19,9.359282437085174e-26
131,635,3,21,1.1772126398745358e-24
132,643,3,23,2.0685523230101644e-26
133,643,3,18,2.0685523230101644e-26
134,637,3,17,7.855805866700664e-26
135,637,3,16,1.347261845696312e-26
136,633,3,16,1.6024081363913867e-26
137,632,3,23,1.156979118329135e-27
138,640,3,20,3.04626464289361e-26
139,639,3,17,6.174828193492586e-27
140,641,3,22,8.127042190257996e-26
141,649,3,19,1.3508286308697266e-27
142,648,3,16,1.998866936438589e-27
143,643,3,17,1.4036694071701032e-26
144,645,3,14,1.6047907477321814e-27
145,641,3,18,5.193831661711606e-27
146,637,3,18,2.4626982178714153e-26
147,633,3,19,3.9817387997570665e-27
148,636,3,23,6.742525717958338e-25
149,636,3,17,2.566338462848812e-25
150,640,3,20,1.4696743986623983e-24
151,648,3,20,2.64921238615997e-26
152,648,3,19,2.64921238615997e-26
153,643,3,19,1.801892172763587e-25
154,646,3,14,2.1468034980905195e-26
155,643,3,15,4.6407604776476415e-26
156,640,3,27,1.4673027743541468e-25
157,636,3,25,2.4626982178714153e-26
158,636,3,25,9.854363061376618e-25
159,636,3,22,3.759777316976734e-25
160,641,3,26,1.4696743986623983e-24
161,648,3,24,2.64921238615997e-26
162,648,3,21,2.64921238615997e-26
163,643,3,20,1.801892172763587e-25
164,646,3,29,2.1468034980905195e-26
165,644,3,28,3.1574829715411573e-26
166,642,3,35,6.816095656078806e-26
167,638,3,38,1.1325269563087731e-26
168,632,3,19,6.360507251366578e-26
169,635,3,22,1.9879951630410583e-26
170,640,3,23,8.127042190257996e-26
171,648,3,23,9.122694883875498e-28
172,648,3,19,9.122694883875498e-28
173,645,3,18,2.9557863400601148e-27
174,649,3,29,2.2357697055781637e-28
175,646,3,34,4.928320988374986e-28
176,647,3,39,9.122694883875498e-28
177,643,3,39,1.4203368484617202e-28
178,637,3,27,5.34032321455142e-26
179,645,3,23,5.8480777323472155e-28
180,645,3,18,5.8480777323472155e-28
181,642,3,20,1.906111640003491e-27
182,647,3,30,9.537943974744954e-29
183,645,3,29,1.4203368484617202e-28
184,647,3,40,1.783389794237937e-28
185,644,3,38,2.693588218913882e-29
186,631,3,36,2.7600282850031177e-29
187,631,3,36,4.161110752729168e-28
188,636,3,22,2.931413493204988e-26
189,636,3,21,2.931413493204988e-26
190,633,3,17,9.359282437085174e-26
191,638,3,31,4.9622540384323285e-27
192,637,3,32,4.9622540384323285e-27
193,639,3,39,6.174828193492586e-27
194,637,3,38,6.566439821755215e-28
195,631,3,20,7.574238315512535e-26
196,633,3,29,1.2896672646034199e-26
197,632,3,29,1.2896672646034199e-26
198,635,3,36,2.931413493204988e-26
199,635,3,37,1.4492959944534857e-27
200,634,3,24,3.9817387997570665e-27
201,634,3,20,5.2313701315863855e-28
202,635,3,20,1.0848638387275084e-26
203,643,3,18,4.671547907503151e-28
204,641,3,16,3.725925070682832e-28
205,634,3,18,7.782481411532523e-28
206,636,3,18,1.5825096278790573e-28
207,633,3,25,8.722536911126218e-27
208,633,3,20,1.156979118329135e-27
209,636,3,23,1.0848638387275084e-26
210,644,3,20,4.671547907503151e-28
211,643,3,17,6.937993729733131e-28
212,637,3,18,2.6874454157928835e-27
213,638,3,18,8.229250132184757e-28
214,633,3,18,5.2313701315863855e-28
215,632,3,19,5.895321573279359e-27
216,631,3,24,5.248028198563685e-29
217,641,3,19,6.937993729733131e-28
218,640,3,18,1.337065542467332e-28
219,643,3,21,1.28646309325151e-27
220,651,3,19,5.405978243869229e-29
221,649,3,14,1.1987918349837425e-28
222,644,3,16,8.676647072612674e-28
223,647,3,16,1.783389794237937e-28
224,642,3,18,3.143368936344968e-28
225,640,3,18,6.937993729733131e-28
226,638,3,19,1.337065542467332e-28
227,637,3,20,1.670629479215598e-26
228,637,3,18,6.174828193492586e-27
229,642,3,20,2.5575133382700645e-26
230,650,3,17,1.136828073367337e-27
231,649,3,14,1.681684313676068e-27
232,644,3,15,1.1791532225531814e-26
233,648,3,15,2.485997232480909e-27
234,644,3,16,2.9557863400601148e-27
235,643,3,20,4.367839963972897e-27
236,641,3,21,8.676647072612674e-28
237,637,3,21,2.4626982178714153e-26
238,637,3,19,9.124061091587337e-27
239,643,3,23,2.5575133382700645e-26
240,651,3,25,7.679847144203676e-28
241,650,3,22,1.136828073367337e-27
242,645,3,20,7.998307691076574e-27
243,649,3,25,1.681684313676068e-27
244,646,3,27,1.3508286308697266e-27
245,646,3,29,1.3508286308697266e-27
246,644,3,37,2.651302755236477e-28
247,632,3,34,1.4492959944534857e-27
248,632,3,32,5.34032321455142e-26
249,633,3,19,1.4492959944534857e-27
250,636,3,22,4.415445404500008e-28
251,642,3,24,1.28646309325151e-27
252,650,3,26,3.626680016116891e-29
253,649,3,23,5.405978243869229e-29
254,646,3,20,1.783389794237937e-28
255,651,3,27,2.431412168066784e-29
256,647,3,27,2.876857435140377e-29
257,650,3,31,2.431412168066784e-29
258,648,3,39,4.548322011840213e-30
259,636,3,36,2.5142261102037627e-29
260,636,3,32,1.0297069605648276e-27
261,631,3,19,4.161110752729168e-28
262,639,3,23,8.229250132184757e-28
263,647,3,24,2.278436308385673e-29
264,646,3,20,3.4030791226599675e-29
265,643,3,19,1.12941905683061e-28
266,649,3,28,1.0193214421234695e-29
267,646,3,26,8.04368369858334e-30
268,650,3,29,4.548322011840213e-30
269,649,3,35,8.303016332461614e-31
270,638,3,35,3.0679827687869414e-30
271,639,3,32,8.966650711778375e-29
272,632,3,30,5.2313701315863855e-28
273,632,3,21,3.6527984328450366e-25
274,639,3,26,6.174828193492586e-27
275,638,3,19,9.124061091587337e-27
276,635,3,20,2.931413493204988e-26
277,641,3,25,2.8223049240648714e-27
278,639,3,22,1.5272109916090176e-27
279,643,3,33,8.676647072612674e-28
280,644,3,31,7.576735473187969e-29
281,633,3,33,1.872556401249514e-28
282,635,3,31,3.352607639324212e-27
