,sizer,sizec,goea_nsig,goea_bestp
0,468,3,4,0.006841125444154028
1,468,3,3,0.0038220005004720252
2,472,3,3,0.0044456785919858716
3,475,3,4,0.009124815074823794
4,471,3,4,0.008071848163330697
5,472,3,3,0.008409751982506482
6,469,3,3,0.026307028916797925
7,467,3,3,0.0036944887278455804
8,472,3,3,0.0044456785919858716
9,476,3,4,0.009502880675845503
10,473,3,4,0.008760592162685685
11,474,3,3,0.009124815074823794
12,470,3,3,0.027391789983901953
13,467,3,3,0.02528243640079337
14,468,3,3,0.0417139662797221
15,467,3,3,0.04010968759658017
16,468,3,3,0.04010968759658017
17,469,3,1,0.04337655359637417
18,468,3,3,0.0038220005004720252
19,469,3,4,0.007131487747480054
20,467,3,1,0.023873186813782494
21,471,3,1,0.004271816197483185
22,476,3,3,0.005274347922938698
23,481,3,4,0.011617943424910815
24,478,3,4,0.010724944399332864
25,479,3,3,0.011163264499205554
26,470,3,3,0.01549289514924142
27,471,3,1,0.009407390024981623
28,476,3,3,0.03878639131543933
29,473,3,3,0.037613771941398734
30,474,3,0,0.056534995247949506
31,469,3,3,0.04337655359637417
32,467,3,1,0.007826447232205946
33,472,3,3,0.036471151449575925
34,471,3,3,0.036471151449575925
35,474,3,0,0.056534995247949506
36,470,3,3,0.04509934256166085
37,469,3,1,0.025236249320012335
38,474,3,0,0.05471865907969666
39,473,3,0,0.05471865907969666
40,476,3,0,0.059076220747733534
41,472,3,1,0.048733366091643776
42,470,3,1,0.0417139662797221
43,469,3,1,0.0417139662797221
44,472,3,1,0.04688427965820004
45,468,3,1,0.04010968759658017
46,472,3,3,0.04509934256166085
47,472,3,1,0.04688427965820004
48,475,3,0,0.0572944389033923
49,471,3,1,0.04509934256166085
50,471,3,0,0.05200029829560865
51,470,3,0,0.05200029829560865
52,473,3,0,0.05583530597039011
53,470,3,0,0.05200029829560865
54,468,3,0,0.0672268603307248
55,469,3,0,0.07075753874010546
56,473,3,0,0.11111625255025018
57,472,3,0,0.10941345434872776
58,468,3,0,0.0762553566869339
59,467,3,0,0.07459332025743286
60,468,3,3,0.006561659600539384
61,469,3,4,0.004681019487449671
62,467,3,1,0.046810765559684504
63,472,3,3,0.014936326745737232
64,477,3,3,0.009502880675845503
65,482,3,4,0.006980886543925066
66,479,3,4,0.006742864018167441
67,480,3,2,0.006860983412574953
68,472,3,1,0.005572133988386891
69,468,3,1,0.024525773583511448
70,473,3,2,0.02344213982910002
71,478,3,1,0.02060489963293541
72,475,3,1,0.019005761351691006
73,476,3,1,0.01979052571951544
74,472,3,1,0.016819503965012965
75,471,3,2,0.021688276798187085
76,476,3,1,0.019005761351691006
77,475,3,1,0.019005761351691006
78,478,3,1,0.021449888798665728
79,475,3,1,0.019005761351691006
80,467,3,1,0.046810765559684504
81,473,3,2,0.04290887935197371
82,478,3,1,0.02060489963293541
83,477,3,1,0.02060489963293541
84,480,3,1,0.02323588684982163
85,477,3,1,0.02060489963293541
86,469,3,1,0.03856187677063196
87,474,3,1,0.016819503965012965
88,473,3,1,0.016819503965012965
89,476,3,1,0.019005761351691006
90,473,3,1,0.016819503965012965
91,471,3,1,0.0417139662797221
92,477,3,1,0.019005761351691006
93,478,3,1,0.02060489963293541
94,481,3,1,0.02323588684982163
95,478,3,1,0.02060489963293541
96,468,3,1,0.03856187677063196
97,471,3,2,0.026307028916797925
98,477,3,1,0.019005761351691006
99,477,3,1,0.01979052571951544
100,480,3,1,0.02232652899841111
101,478,3,1,0.02060489963293541
102,470,3,1,0.0417139662797221
103,467,3,0,0.07008783606142738
104,475,3,0,0.05471865907969666
105,477,3,0,0.059076220747733534
106,481,3,0,0.0627800174442554
107,481,3,0,0.0627800174442554
108,473,3,0,0.08174729534146044
109,471,3,0,0.10607372760909037
110,470,3,0,0.10282030231449787
111,468,3,1,0.013682250888308056
112,472,3,1,0.016819503965012965
113,476,3,1,0.01979052571951544
114,476,3,1,0.01979052571951544
115,468,3,1,0.04010968759658017
116,467,3,0,0.07151127067909292
117,469,3,1,0.014866259976315771
118,470,3,1,0.01549289514924142
119,471,3,1,0.04337655359637417
120,477,3,3,0.00989526285975772
121,473,3,3,0.008760592162685685
122,474,3,2,0.009124815074823794
123,468,3,0,0.12509595396527004
124,474,3,0,0.0564206579120981
125,470,3,1,0.04509934256166085
126,472,3,1,0.048733366091643776
127,467,3,1,0.04010968759658017
128,472,3,1,0.04688427965820004
129,470,3,1,0.04509934256166085
130,474,3,0,0.0572944389033923
131,470,3,1,0.04509934256166085
132,469,3,0,0.12679165357597155
133,476,3,0,0.058179586973158996
134,474,3,0,0.0572944389033923
135,478,3,0,0.060904424485136284
136,474,3,0,0.0572944389033923
137,473,3,1,0.04688427965820004
138,471,3,1,0.04509934256166085
139,475,3,0,0.0572944389033923
140,471,3,1,0.04509934256166085
141,468,3,0,0.1413246376228863
142,476,3,0,0.0572944389033923
143,476,3,0,0.058179586973158996
144,480,3,0,0.06183623627822686
145,476,3,0,0.058179586973158996
146,469,3,0,0.09980866665740398
147,477,3,3,0.03878639131543933
148,476,3,0,0.058179586973158996
149,480,3,0,0.06183623627822686
150,477,3,0,0.059076220747733534
151,469,3,0,0.07459332025743286
152,475,3,0,0.07609812658381512
153,476,3,0,0.09032367956371887
154,481,3,0,0.1032553658692277
155,480,3,0,0.10045986806363737
156,472,3,0,0.1077326893847665
157,470,3,0,0.10443634075138267
158,469,3,0,0.1012253875752669
159,468,3,1,0.04010968759658017
160,471,3,1,0.04688427965820004
161,476,3,0,0.059076220747733534
162,475,3,0,0.058179586973158996
163,467,3,0,0.07301253830496789
164,470,3,1,0.04509934256166085
165,470,3,1,0.04509934256166085
166,470,3,1,0.014262975494960108
167,476,3,1,0.006340563713139917
168,473,3,1,0.005818158317558265
169,474,3,1,0.006074178507611302
170,469,3,1,0.013682250888308056
171,475,3,1,0.006074178507611302
172,472,3,1,0.005572133988386891
173,474,3,1,0.006074178507611302
174,469,3,1,0.00489052015970407
175,468,3,1,0.013123319201078768
176,474,3,1,0.005818158317558265
177,473,3,1,0.005818158317558265
178,477,3,1,0.0069059670204276195
179,473,3,1,0.005818158317558265
180,472,3,1,0.01549289514924142
181,479,3,1,0.007205785717076713
182,478,3,1,0.007205785717076713
183,482,3,1,0.00852913630986461
184,478,3,1,0.007205785717076713
185,469,3,1,0.013123319201078768
186,476,3,1,0.006074178507611302
187,475,3,1,0.006074178507611302
188,479,3,1,0.007205785717076713
189,475,3,1,0.006074178507611302
190,471,3,1,0.014262975494960108
191,479,3,1,0.0069059670204276195
192,480,3,1,0.007517571342433647
193,484,3,1,0.00889326777418205
194,480,3,1,0.007517571342433647
195,470,3,1,0.014262975494960108
196,472,3,1,0.014866259976315771
197,480,3,1,0.007205785717076713
198,480,3,1,0.007517571342433647
199,484,3,1,0.00889326777418205
200,481,3,1,0.007841757506531518
201,473,3,1,0.016143696326661395
202,469,3,1,0.04010968759658017
203,470,3,1,0.04010968759658017
204,468,3,1,0.03706874404354299
205,478,3,1,0.01979052571951544
206,480,3,1,0.02232652899841111
207,485,3,1,0.027222950473816572
208,484,3,1,0.026171411514713878
209,476,3,0,0.08315057710378525
210,474,3,0,0.1675059179111703
211,475,3,0,0.1675059179111703
212,468,3,0,0.14602507660993577
213,472,3,1,0.005335748200649013
214,476,3,1,0.006617695265392358
215,481,3,1,0.00817879182450062
216,480,3,1,0.007841757506531518
217,472,3,1,0.016143696326661395
218,470,3,1,0.04337655359637417
219,472,3,1,0.04509934256166085
220,469,3,1,0.00489052015970407
221,475,3,1,0.006340563713139917
222,475,3,1,0.006340563713139917
223,469,3,1,0.014262975494960108
224,469,3,1,0.0417139662797221
225,472,3,1,0.04509934256166085
226,468,3,1,0.03856187677063196
227,469,3,1,0.04010968759658017
228,467,3,1,0.004286678391119038
229,467,3,1,0.004286678391119038
230,469,3,1,0.014262975494960108
231,467,3,1,0.013682250888308056
232,468,3,1,0.014262975494960108
233,468,3,1,0.013682250888308056
234,468,3,1,0.014262975494960108
235,469,3,1,0.014262975494960108
236,469,3,1,0.014866259976315771
237,473,3,1,0.01752118432537137
238,469,3,1,0.014866259976315771
239,467,3,1,0.03706874404354299
240,474,3,1,0.01752118432537137
241,474,3,1,0.01824963014964759
242,478,3,1,0.021449888798665728
243,474,3,1,0.01824963014964759
244,473,3,1,0.01549289514924142
245,474,3,1,0.016819503965012965
246,478,3,1,0.01979052571951544
247,474,3,1,0.016819503965012965
248,469,3,1,0.03706874404354299
249,477,3,1,0.01824963014964759
250,480,3,1,0.021449888798665728
251,484,3,1,0.025157180854838358
252,480,3,1,0.021449888798665728
253,471,3,1,0.04337655359637417
254,467,3,0,0.26251518881654
255,470,3,1,0.03856187677063196
256,478,3,2,0.019005761351691006
257,480,3,1,0.021449888798665728
258,484,3,1,0.025157180854838358
259,481,3,1,0.02232652899841111
260,474,3,1,0.048733366091643776
261,470,3,0,0.1525107133738678
262,472,3,0,0.15600089488682595
263,476,3,0,0.08195056978649337
264,480,3,0,0.08886870544580226
265,485,3,0,0.09822724584112541
266,484,3,0,0.0961477721504761
267,477,3,0,0.18064735912743773
268,475,3,0,0.2959034332778052
269,477,3,0,0.29981655689050163
270,470,3,0,0.27175314838724834
271,468,3,0,0.2696562678719095
272,471,3,1,0.014866259976315771
273,476,3,1,0.019005761351691006
274,481,3,1,0.02323588684982163
275,480,3,1,0.02232652899841111
276,473,3,1,0.048733366091643776
277,471,3,0,0.1596609059901379
278,474,3,0,0.1675059179111703
279,468,3,0,0.14602507660993577
280,468,3,0,0.14602507660993577
281,470,3,1,0.014866259976315771
282,476,3,1,0.019005761351691006
283,476,3,1,0.019005761351691006
284,471,3,1,0.04509934256166085
285,471,3,0,0.1596609059901379
286,475,3,0,0.17169898348808346
287,471,3,0,0.15600089488682595
288,472,3,0,0.1596609059901379
289,469,3,0,0.07459332025743286
290,467,3,0,0.07151127067909292
291,469,3,1,0.013682250888308056
292,469,3,1,0.013682250888308056
293,470,3,0,0.14918664051486571
294,468,3,0,0.14302254135818585
295,473,3,1,0.005572133988386891
296,472,3,1,0.005335748200649013
297,473,3,1,0.005572133988386891
298,467,3,1,0.012585436716978716
299,474,3,1,0.005818158317558265
300,473,3,1,0.005572133988386891
301,475,3,1,0.006074178507611302
302,470,3,1,0.00489052015970407
303,468,3,1,0.013123319201078768
304,475,3,1,0.006074178507611302
305,476,3,1,0.006340563713139917
306,480,3,1,0.007517571342433647
307,476,3,1,0.006340563713139917
308,473,3,1,0.016143696326661395
309,481,3,1,0.007841757506531518
310,482,3,1,0.00817879182450062
311,486,3,1,0.009664875348807665
312,482,3,1,0.00817879182450062
313,472,3,1,0.01549289514924142
314,473,3,1,0.014866259976315771
315,481,3,1,0.007205785717076713
316,483,3,1,0.007841757506531518
317,487,3,1,0.009271678237563181
318,483,3,1,0.007841757506531518
319,475,3,1,0.016819503965012965
320,469,3,0,0.14602507660993577
321,471,3,0,0.14918664051486571
322,467,3,1,0.0342396018691895
323,476,3,1,0.016819503965012965
324,485,3,1,0.00852913630986461
325,489,3,1,0.010073382813171801
326,493,3,1,0.011871577142025441
327,489,3,1,0.010073382813171801
328,481,3,1,0.021449888798665728
329,476,3,0,0.17169898348808346
330,478,3,0,0.17607801206580256
331,471,3,0,0.1525107133738678
332,467,3,0,0.14017567212285476
333,468,3,1,0.03562854949479209
334,477,3,1,0.01752118432537137
335,486,3,1,0.00889326777418205
336,489,3,1,0.010073382813171801
337,493,3,1,0.011871577142025441
338,490,3,1,0.01049774083170332
339,484,3,1,0.024179060587155993
340,480,3,0,0.08729781430899008
341,483,3,0,0.09053705935628086
342,477,3,0,0.08315057710378525
343,474,3,1,0.04688427965820004
344,471,3,2,0.03839206376630802
345,467,3,2,0.036622343343796125
