,sizer,sizec,goea_nsig,goea_bestp
0,633,3,1,0.04032397680961634
1,632,3,3,0.04542963372557418
2,631,3,1,0.038264512340050266
3,632,3,1,0.038264512340050266
4,631,3,0,0.0639072722480875
5,632,3,1,0.038264512340050266
6,636,3,1,0.04360323218109275
7,634,3,0,0.07165563058471774
8,631,3,0,0.08957539726766296
9,635,3,1,0.04248407680335857
10,631,3,1,0.038264512340050266
11,632,3,1,0.04032397680961634
12,632,3,1,0.011052031215571445
13,634,3,7,0.017342215795124714
14,633,3,7,0.019781490507036426
15,633,3,5,0.011052031215571445
16,631,3,5,0.008173988675975062
17,635,3,6,0.011364057284720607
18,634,3,7,0.019781490507036426
19,632,3,6,0.010451470832182222
20,636,3,5,0.0030553086062801464
21,635,3,5,0.0026671478116903147
22,634,3,7,0.01757167313020567
23,641,3,7,0.013785258598346369
24,639,3,8,0.03187456359142721
25,637,3,7,0.012349355259286394
26,641,3,5,0.00364199112482893
27,639,3,5,0.0034357633901043213
28,633,3,5,0.0007146133827244778
29,633,3,5,0.00017473842146720347
30,634,3,1,0.011684159830184917
31,633,3,7,0.04135747279252721
32,634,3,3,0.011684159830184917
33,638,3,3,0.0034357633901043213
34,637,3,3,0.0033367483562821917
35,631,3,3,0.0006925440449594132
36,632,3,3,0.00016905935303976666
37,635,3,1,0.0030553086062801464
38,634,3,3,0.011364057284720607
39,635,3,7,0.0030553086062801464
40,638,3,5,0.0008613725100478595
41,637,3,5,0.0008351118923423745
42,631,3,5,0.00016355316097450216
43,632,3,14,3.8181403208831726e-05
44,632,3,6,0.011052031215571445
45,633,3,6,0.002966486124559109
46,637,3,5,0.0008613725100478595
47,636,3,5,0.0008351118923423745
48,632,3,5,0.00017473842146720347
49,635,3,10,4.386181675155128e-05
50,632,3,11,4.09292168159723e-05
51,633,3,14,4.237171269084727e-05
52,633,3,3,0.0007607278299701665
53,632,3,3,0.0007373353928728172
54,631,3,12,3.8181403208831726e-05
55,636,3,7,0.0035818884406454
56,637,3,8,0.004890254057890382
57,635,3,8,0.004758815578631795
58,641,3,6,0.002581330719970858
59,639,3,6,0.0010165393771975465
60,631,3,6,0.0008080061612704419
61,632,3,5,0.0014832430622795545
62,637,3,7,0.0035818884406454
63,638,3,7,0.004890254057890382
64,638,3,8,0.004116451753095465
65,644,3,6,0.0011607637245611968
66,643,3,6,0.0004986833492574893
67,636,3,6,0.0002445455656753957
68,636,3,5,0.00019286379476393727
69,632,3,9,0.00017473842146720347
70,636,3,8,0.0036352422047789264
71,644,3,6,0.0040286959318721486
72,644,3,6,0.005375561472335499
73,644,3,8,0.004987027750594209
74,650,3,7,0.001492460914314102
75,648,3,7,0.001386286857421369
76,642,3,7,0.000560947676862761
77,644,3,6,0.0002501547450441359
78,640,3,8,0.00022702629403591057
79,636,3,8,0.00019928596043244012
80,637,3,5,0.012694838524050685
81,638,3,3,0.021249709060951475
82,641,3,5,0.010899792319247271
83,647,3,4,0.0022286484565452
84,646,3,4,0.0021656619681199004
85,640,3,5,0.0009162122298446501
86,643,3,3,0.0002422113813085042
87,640,3,5,0.00022702629403591057
88,637,3,5,0.0002059074918354562
89,637,3,5,0.0032403771281170283
90,638,3,3,0.012694838524050685
91,641,3,7,0.00364199112482893
92,646,3,6,0.0011008224101885958
93,645,3,6,0.0010678300893587904
94,639,3,6,0.00021273411467396424
95,642,3,11,5.388703333209555e-05
96,640,3,12,5.207909494708493e-05
97,638,3,12,4.863260419447778e-05
98,631,3,14,0.00017473842146720347
99,632,3,1,0.00288005701705473
100,636,3,1,0.012349355259286394
101,639,3,3,0.00353748841964328
102,645,3,4,0.0011008224101885958
103,644,3,4,0.0010678300893587904
104,640,3,5,0.00022702629403591057
105,644,3,11,5.967049071150656e-05
106,641,3,12,5.5753720486011414e-05
107,642,3,12,5.768093145099364e-05
108,635,3,14,0.0002059074918354562
109,635,3,6,0.0030553086062801464
110,641,3,3,0.0009448329082482732
111,640,3,3,0.0009162122298446501
112,636,3,3,0.00019286379476393727
113,641,3,11,5.207909494708493e-05
114,639,3,11,5.032817850384671e-05
115,641,3,11,5.388703333209555e-05
116,635,3,14,0.00019286379476393727
117,632,3,2,0.0027959621186316756
118,631,3,2,0.0027141435874604813
119,632,3,9,0.00016355316097450216
120,631,3,9,0.00016355316097450216
121,633,3,9,0.00017473842146720347
122,633,3,4,0.022820461450312756
123,633,3,3,0.046554850594250484
124,633,3,4,0.013093977812829546
125,641,3,4,0.006706291318522238
126,640,3,4,0.0025125837364180295
127,633,3,4,0.001941417192076094
128,634,3,4,0.0015276543031400732
129,633,3,4,0.010747896253608584
130,633,3,3,0.019545399883130005
131,635,3,4,0.008279664360783593
132,643,3,4,0.001820995562414465
133,643,3,4,0.0010849440331551032
134,637,3,4,0.0004500440659136937
135,637,3,4,0.00019286379476393727
136,633,3,5,0.00017473842146720347
137,632,3,6,0.022820461450312756
138,640,3,5,0.013412582637044475
139,639,3,3,0.021249709060951475
140,641,3,5,0.010009852208536273
141,649,3,4,0.0022286484565452
142,648,3,4,0.0021656619681199004
143,643,3,5,0.0009448329082482732
144,645,3,3,0.0002501547450441359
145,641,3,7,0.00022702629403591057
146,637,3,7,0.00019928596043244012
147,633,3,7,0.0004500440659136937
148,636,3,5,0.012349355259286394
149,636,3,3,0.020750322141288788
150,640,3,5,0.010009852208536273
